sites_lower,n
"pautzke creek, prince william sound, alaska",1
"pavlof river, southeast, alaska",1
"pawleys island, sc",1
"paxson (city/community), yukon, alaska",1
"paxson lake, copper river, alaska",1
"paxson, ak",1
"paynes creek, ca",1
"paynesville, mn",1
"peace river, norton sound/port clarence, alaska",1
"peard bay, northern area, alaska",1
"pearse slough, yukon, alaska",1
"peck, id",1
"pedro bay (city/community), bristol bay, alaska",1
"pedro bay village, pedro bay, bristol bay, alaska",1
"pelican (city/community), southeast, alaska",1
"pelly lakes & outlet stream, yukon - canada, alaska",1
"pelly river, yukon - canada, alaska",1
"pendleton, or",1
"penny river, norton sound/port clarence, alaska",1
"penryn, ca",1
"pensacola, fl",1
"perkins creek, alaska",1
"perry-q, common name perryville, chignik, alaska",1
"perryville (city/community), chignik, alaska",1
"petaluma, ca",1
"peter's creek, cook inlet, alaska",1
"peters creek, ak",1
"petersburg (city/community), southeast, alaska",1
"petersburg creek, southeast, alaska",1
"petersburg indian association, petersburg, southeast, alaska",1
"petersburg, va",1
phelan c nr paxson ak,1
"philadelphia, pa",1
"philomath, or",1
"pickett, wi",1
"pie town, nm",1
"pierz, mn",1
"pikmiktalik river tower site 1, norton sound/port clarence, alaska",1
"pikmiktalik river tower site 2, norton sound/port clarence, alaska",1
"pikmiktalik river, norton sound/port clarence, alaska",1
"piledriver slough, yukon, alaska",1
"pilgrim river environmental conditions monitoring, norton sound/port clarence, alaska",1
"pilgrim river smolt trap, norton sound/port clarence, alaska",1
"pilgrim river tower, norton sound/port clarence, alaska",1
"pilgrim river weir, norton sound/port clarence, alaska",1
"pilgrim river, norton sound, alaska",1
"pilgrim river, norton sound/port clarence, alaska",1
"pilot point (city/community), bristol bay, alaska",1
"pilot station (city/community), yukon, alaska",1
"pilot station (village/city), yukon, alaska",1
"pilot station traditional village, pilot station, yukon, alaska",1
"pine bluff, ar",1
"pine ridge, sd",1
"pinedale, ca",1
"pinehurst, id",1
"pinguk river, kotzebue, alaska",1
"pinnell creek, alaska",1
"pinole, ca",1
"pismo beach, ca",1
"pitka fork, kuskokwim, alaska",1
"pitkas point (city/community), yukon, alaska",1
"pitmegea river, northern area, alaska",1
"pitt river, canada",1
"pitt river, fraser early summer, bc",1
"pittsburgh, pa",1
"placerville, ca",1
"placida, fl",1
"plano, tx",1
"platinum (city/community), kuskokwim, alaska",1
"platinum traditional village, platinum, kuskokwim, alaska",1
"platte, sd",1
"plattsburgh, ny",1
"pleasant creek, copper river, alaska",1
"pleasant creek, yukon - canada, alaska",1
"pleasant lake (moose c (big salmon r)), yukon - canada, alaska",1
"pleasant lake (pleasant c), yukon - canada, alaska",1
"pleasant view, co",1
"pleasanton, ca",1
"pleasantville, nj",1
"plymouth, ma",1
"plymouth, mn",1
"plymouth, nh",1
"pocahontas creek, yukon, alaska",1
"pocatello, id",1
"pocomoke city, md",1
"point arena, ca",1
"point baker (city/community), southeast, alaska",1
"point hope (city/community), kotzebue, alaska",1
"point hope, ak",1
"point lay (city/community), arctic, alaska",1
"polson, mt",1
"pomeroy, wa",1
"ponderay, id",1
"poplar, mt",1
"popokamiut (village/city), kuskokwim, alaska",1
"porcupine creek, southeast, alaska",1
"porcupine river (alaska portion), yukon, alaska",1
"port alexander (city/community), southeast, alaska",1
"port alice (city/community), southeast, alaska",1
"port alice, ak",1
"port alsworth (city/community), bristol bay, alaska",1
"port aransas, tx",1
"port ashton, ak",1
"port camden s head, southeast, alaska",1
"port camden w head, southeast, alaska",1
"port camden, southeast, alaska",1
"port charlotte, fl",1
"port chatham, lower cook inlet, alaska",1
"port clarence (north), norton sound/port clarence, alaska",1
"port clarence (south), norton sound/port clarence, alaska",1
"port clarence, norton sound/port clarence, alaska",1
"port dick-head end creek, cook inlet, alaska",1
"port gamble, wa",1
"port graham (city/community), cook inlet, alaska",1
"port graham river, lower cook inlet, alaska",1
"port heiden (city/community), alaska peninsula and aleutian islands, alaska",1
"port hueneme, ca",1
"port isabel, tx",1
"port lions (city/community), kodiak, alaska",1
"port protection (city/community), southeast, alaska",1
"port st nicholas, southeast, alaska",1
"port wing, wi",1
"portage creek (city/community), bristol bay, alaska",1
"portage creek village (aka ohgsenakale), portage creek, bristol bay, alaska",1
"portage river, canada",1
"portage, bristol bay, alaska",1
"portage, in",1
"portage, kodiak, alaska",1
"portales, nm",1
"porterfield creek, southeast, alaska",1
"portland, me",1
"portland, tx",1
"portsmouth, nh",1
"post falls, id",1
"post river, kuskokwim, alaska",1
"pothole lake, copper river, alaska",1
"pothole lakes, kuskokwim, alaska",1
"potlatch, id",1
"poultney, vt",1
"poway, ca",1
"powell butte, or",1
"prairie farm, wi",1
"preacher creek, yukon, alaska",1
"prescott valley, az",1
"preston, wa",1
"prevost river, yukon - canada, alaska",1
"pribilof islands aleut communities of st. paul & st. george islands, saint paul, alaska peninsula and aleutian islands, alaska",1
"priest river, id",1
"princeton, nj",1
"princeville, hi",1
"prineville, or",1
"pritchett, co",1
"prospect creek (jim r), yukon, alaska",1
"prospect creek, southeast, alaska",1
"prosper, tx",1
"prosser, wa",1
"provincetown, ma",1
"prudenville, mi",1
"prudhoe bay, ak",1
"prunedale, ca",1
"ptarmigan creek, yukon - canada, alaska",1
"ptarmigan lake, yukon - canada, alaska",1
"pulaski, ny",1
"pulaski, va",1
"pullman, wa",1
"pungoteague, va",1
"purmela, tx",1
"qaaktuġvik, common name kaktovik, arctic, alaska",1
"qagan tayagungin tribe of sand point village, sand point, alaska peninsula and aleutian islands, alaska",1
"qaggeyshlat, common name tyonek, cook inlet, alaska",1
"qagiiĝun, common name shumagin islands, alaska peninsula and aleutian islands, alaska",1
"qalirneq, common name koliganek, bristol bay, alaska",1
"qalqaq, common name kalskag, kuskokwim, alaska",1
"qalqaq, common name lower kalskag, kuskokwim, alaska",1
"qarr’unaq, common name kokhanok, bristol bay, alaska",1
"qawalangin tribe of unalaska, unalaska, alaska peninsula and aleutian islands, alaska",1
"qawiaraq, common name igloo, norton sound, alaska",1
"qe’yiłteh, common name kayak island, copper river, alaska",1
"qerrulliik, common name kotlik, yukon, alaska",1
"qezdeghnen, common name kustatan, cook inlet, alaska",1
"qiduk'ggat, common name montana creek, cook inlet, alaska",1
"qigiqtaq, common name shishmaref, kotzebue, alaska",1
"qikertaq, common name kodiak island, kodiak, alaska",1
"qikiqtaġruk, common name kotzebue, kotzebue, alaska",1
"qinuyang, common name south naknek, bristol bay, alaska",1
"qipcarpak, common name crooked creek, norton sound, alaska",1
"qipnek, common name kipnuk, kuskokwim, alaska",1
"qizhjeh, common name kijik, bristol bay, alaska",1
"quartz hill, ca",1
"quechee, vt",1
"quesnel river, canada",1
"quicksilver creek, kuskokwim, alaska",1
"quicksilver lakes, kuskokwim, alaska",1
"quiet lake, yukon - canada, alaska",1
"quinault, wa",1
"quincy, ca",1
"quincy, wa",1
"quinhagak (city/community), kuskokwim, alaska",1
"quinhagak (village/city), kuskokwim, alaska",1
"qutalleq, common name seward, cook inlet, alaska",1
"raft river, canada",1
"ragged point lake, copper river, alaska",1
"rainier, wa",1
"raleigh, nc",1
"ramona, ca",1
"rampart (city/community), yukon, alaska",1
"rampart (village/city), yukon, alaska",1
"rampart fish wheel (left bank), yukon, alaska",1
"rampart fish wheel (right bank), yukon, alaska",1
"rampart rapids, yukon, alaska",1
"rampart village, rampart, yukon, alaska",1
"ranchester, wy",1
"rancho bernardo, ca",1
"rancho cordova, ca",1
"rancho mirage, ca",1
"rancho murieta, ca",1
"rangely, co",1
"ranger paige creek, southeast, alaska",1
"rapid city, sd",1
"rapid river, yukon, alaska",1
"rapids north (right) fish wheel, yukon, alaska",1
"rapids south (left) fish wheel, yukon, alaska",1
"rathdrum, id",1
"ray river, yukon, alaska",1
"rebersburg, pa",1
"red devil (city/community), kuskokwim, alaska",1
"red devil, ak",1
"red lake creek, southeast, alaska",1
"red lake river, alaska",1
"red lake, alaska",1
"red mountain creek, yukon, alaska",1
"red river, yukon - canada, alaska",1
"redcrest, ca",1
"redding, ca",1
"redfield, ia",1
"redondo beach, ca",1
"redondo, wa",1
"redoubt river, seak, ak",1
"redoubt river, southeast, alaska",1
"redstone river, kotzebue, alaska",1
"redwood city, ca",1
"reedsburg, wi",1
"remer, mn",1
"republic, wa",1
"reseda, ca",1
"rexburg, id",1
"rice, wa",1
"richardson clearwater river, yukon, alaska",1
"richardson, tx",1
"richland, ms",1
"richmond beach, wa",1
"richmond hill, ga",1
"richmond, ca",1
"richmond, ut",1
"riddell river, yukon - canada, alaska",1
"ridgeland, wi",1
"ridgway, co",1
"rigby, id",1
"ringgold, ga",1
"ripon, wi",1
"ririe, id",1
"riverside, wa",1
"riverton, wy",1
"robe lake, prince william sound, alaska",1
"robertson river, yukon, alaska",1
"rochester, mn",1
"rochester, ny",1
"rochester, wa",1
"rock creek dena, alaska",1
"rock creek, alaska",1
"rock hill, sc",1
"rock lake, yukon - canada, alaska",1
"rockaway beach, or",1
"rockford, il",1
"rockford, wa",1
"rockland, ma",1
"rockland, me",1
"rockledge, fl",1
"rocklin, ca",1
"rockport, tx",1
"rockport, wa",1
"rocky pass creek, alaska",1
"rodo river, yukon, alaska",1
"rogue river, or",1
"rogue river, yukon - canada, alaska",1
"roland, ok",1
"rolla, nd",1
"rolling hills, ca",1
"rollingbay, wa",1
"romulus, ny",1
"ronald, wa",1
"rosalia, wa",1
"roscoe, mt",1
"rose river, yukon - canada, alaska",1
"rose, ok",1
"roseville, ca",1
"roseville, mi",1
"ross river, yukon - canada, alaska",1
"roswell, nm",1
"roy, wa",1
"ruby (city/community), yukon, alaska",1
"ruby (village/city), yukon, alaska",1
"rufus creek, alaska",1
"rupert, id",1
russell c nr cold bay ak,1
"russell creek, alaska",1
"russell creek, yukon - canada, alaska",1
"russian mission (city/community), yukon, alaska",1
"russian mission (village/city), yukon, alaska",1
"ruston, wa",1
"ryderwood, wa",1
"rye, co",1
"rye, nh",1
"saages cheeg, common name kechumstuk, yukon, alaska",1
"safford, az",1
"saftey sound, norton sound/port clarence, alaska",1
sagavanirktok r nr pump sta 3 ak,1
"sagavanirktok river, alaska",1
"sagavanirktok river, northern area, alaska",1
"sagle, id",1
"saguyaq, common name clark’s point, bristol bay, alaska",1
"sahuarita, az",1
"saint george island (see pribilof islands aleut communities of st. paul & st. george islands), saint george, alaska peninsula and aleutian islands, alaska",1
"saint george, ut",1
"saint ignatius, mt",1
"saint john, wa",1
"saint louis park, mn",1
"saint maries, id",1
"saint marys (city/community), yukon, alaska",1
"saint michael (city/community), norton sound, alaska",1
"saint michaels, md",1
"saint paul island (see pribilof islands aleut communities of st. paul & st. george islands), saint paul, alaska peninsula and aleutian islands, alaska",1
"saint paul, aleutian islands, alaska",1
"saint paul, mn",1
"saint petersburg, fl",1
"saktuliq, common name shaktoolik, norton sound, alaska",1
salcha r nr salchaket ak,1
"salcha, yukon, alaska",1
"salchaket slough, yukon, alaska",1
"salem, ma",1
"salina, ks",1
"salina, ok",1
"salkum, wa",1
"salmon creek - copper river, copper river, alaska",1
"salmon creek, alaska",1
"salmon creek, southeast, alaska",1
"salmon fork, yukon, alaska",1
"salmon lake creek, alaska",1
"salmon lake enhnacement/restoration, norton sound/port clarence, alaska",1
"salmon lake station 1 west basin, norton sound/port clarence, alaska",1
"salmon lake station 3 east basin, norton sound/port clarence, alaska",1
"salmon lake, norton sound, alaska",1
"salmon lake, norton sound/port clarence, alaska",1
salmon r at gustavus ak,1
salmon r nr hyder ak,1
"salmon river - southeast, southeast, alaska",1
"salmon river (kuskokwim bay), kuskokwim, alaska",1
"salmon river weir, kuskokwim, alaska",1
"salmon trout river, yukon, alaska",1
"salmon, id",1
"salt chuck, southeast, alaska",1
"saltery bay head, southeast, alaska",1
"saltery creek, alaska",1
"sam creek (tributary tanana river), yukon, alaska",1
"samoa, ca",1
"samuels, id",1
"san anselmo, ca",1
"san antonio, tx",1
"san bruno, ca",1
"san carlos, ca",1
"san clemente, ca",1
"san leandro, ca",1
"san luis obispo, ca",1
"san marcos, ca",1
"san marino, ca",1
"sanaĝax, common name sanak island (pauloff harbor), alaska peninsula and aleutian islands, alaska",1
"sanctuary river, alaska",1
"sand point (city/community), alaska peninsula and aleutian islands, alaska",1
"sandwich, ma",1
"sandy cove, southeast, alaska",1
"sandy creek, ny",1
"sandy lake, yukon - canada, alaska",1
"sandy river, ak peninsula, alaska",1
"sanford, fl",1
"sanger, ca",1
"sanger, tx",1
"santa ana, ca",1
"santa clara, ca",1
"santa fe, nm",1
"santa maria, ca",1
"santa monica, ca",1
"santa rosa, ca",1
"saranac lake, ny",1
"sarasota, fl",1
"saratoga, ca",1
"sardis, ok",1
"sarkar creek, southeast, alaska",1
"sashin creek, alaska",1
"sashin creek, southeast, alaska",1
"satellite beach, fl",1
"saugatuck, mi",1
"sausalito, ca",1
"savage river grts site, alaska",1
"savage river, alaska",1
"savoonga, ak",1
sawmill c nr sitka ak,1
"sawmill creek - 113, southeast, alaska",1
"sawmill creek, prince william sound, alaska",1
"saxman (city/community), southeast, alaska",1
"saxman, ak",1
"scammon bay (city/community), yukon, alaska",1
"scandinavian creek, yukon, alaska",1
"scappoose, or",1
"schenectady, ny",1
"schieffelin creek, yukon, alaska",1
"schuman creek, prince william sound, alaska",1
"scio, or",1
"scituate, ma",1
"scotch river, canada",1
"scotia, ny",1
"scottie creek, alaska",1
"scotts valley, ca",1
"scottsville, ky",1
"scurvey creek, yukon - canada, alaska",1
"seaford, va",1
"seal beach, ca",1
"searcy, ar",1
"sears creek, yukon, alaska",1
"seaview, wa",1
"sebastopol, ca",1
"security bay creek, southeast, alaska",1
"sedona, az",1
"séet ká, common name petersburg, southeast, alaska",1
"sekiu, wa",1
"selah, wa",1
"selatna river, kuskokwim, alaska",1
"selawik (city/community), kotzebue, alaska",1
"selawik river, kotzebue, alaska",1
"seldovia (city/community), cook inlet, alaska",1
"seldovia village tribe, seldovia, cook inlet, alaska",1
"sepulveda, ca",1
"serpentine river, kotzebue, alaska",1
"seven bays, wa",1
"seventeenmile slough, yukon, alaska",1
"seventymile river, yukon, alaska",1
"severance, co",1
"seward (city/community), cook inlet, alaska",1
"seymour river, canada",1
"sháan séet, common name craig, southeast, alaska",1
"shady cove, or",1
"shafter, ca",1
"shageluk (city/community), yukon, alaska",1
"shageluk native village, shageluk, yukon, alaska",1
"shageluk, ak",1
"shakes creek, southeast, alaska",1
"shaktoolik (city/community), norton sound, alaska",1
"shaktoolik river tower, norton sound/port clarence, alaska",1
"shaktoolik river, norton sound/port clarence, alaska",1
"shalimar, fl",1
"sheep creek (chisana r), yukon, alaska",1
"sheep creek, southeast, alaska",1
"sheep mountain, cook inlet, alaska",1
"sheep river, prince william sound, alaska",1
"sheet'ká, common name sitka, southeast, alaska",1
"shelbyville, ky",1
"sheldon lake outlet, yukon - canada, alaska",1
"shell beach, ca",1
"shell lake, cook inlet, alaska",1
"shell, wy",1
"shelter cove, ca",1
"shelter island, ny",1
"shepherd creek, copper river, alaska",1
"sheridan, or",1
"sheridan, wy",1
"sherwood, or",1
"sheshalik (village/city), kotzebue, alaska",1
"shingletown, ca",1
ship c nr anchorage ak,1
"ship creek, alaska",1
"shipley bay lake creek, southeast, alaska",1
"shipshewana, in",1
"shishmaref (city/community), kotzebue, alaska",1
"shishmaref, ak",1
"shk'ituk't, common name kenai, cook inlet, alaska",1
"shoreview, mn",1
"shorewood, wi",1
"shoshone, id",1
"shotgun creek, kuskokwim, alaska",1
"show low, az",1
"shreveport, la",1
"shtax’héen, common name stikine river, southeast, alaska",1
"shtax’héen, common name wrangell, copper river, alaska",1
"shungnak (city/community), kotzebue, alaska",1
"shungnak river, kotzebue, alaska",1
"shungnak, ak",1
"shustahini slough, southeast, alaska",1
"sicklerville, nj",1
"sidney creek, yukon - canada, alaska",1
"sidney lake & outlet, yukon - canada, alaska",1
"sierra city, ca",1
"sierra vista, az",1
"silḷivik, akuliġaq, common name selawik, kotzebue, alaska",1
"silvana, wa",1
"silver bay, mn",1
"silver city, nm",1
"silver creek, wa",1
"silver plume, co",1
"silver salmon river - southeast, southeast, alaska",1
"silver salmon, kodiak, alaska",1
"silver springs, copper river, alaska",1
"silver star, mt",1
"simon creek, yukon, alaska",1
"singoalik river, kotzebue, alaska",1
"sinuk river carcass sampling, norton sound/port clarence, alaska",1
"sinuk river, norton sound/port clarence, alaska",1
"sinwa slough, southeast, alaska",1
"sinyalak creek, yukon, alaska",1
"sioux falls, sd",1
"sister lake se head, southeast, alaska",1
"sisters, or",1
"sitaisaq, common name brevig mission, norton sound, alaska",1
"site akbb-020, little mulchatna river, alaska",1
"site akbb-028, unnamed tributary koksetna river , alaska",1
"site akbb-029, kaskanak creek, alaska",1
"site akbb-040, chilchitna river, alaska",1
"site big creek_naknek, big creek, alaska",1
"site big creek, big creek, alaska",1
"site bonanza creek, bonanza creek, alaska",1
"site cik_0, bodenburg creek, alaska",1
"site cik_1, ship creek, alaska",1
"site cik_10, beaver creek, alaska",1
"site cik_11, soldotna creek, alaska",1
"site cik_12, slikok creek, alaska",1
"site cik_13, bishop creek, alaska",1
"site cik_14, anchor river, alaska",1
"site cik_15, deep creek, alaska",1
"site cik_16, resurrection creek, alaska",1
"site cik_17, hidden creek, alaska",1
"site cik_18, english bay river, alaska",1
"site cik_19, seldovia river, alaska",1
"site cik_2, rabbit creek, alaska",1
"site cik_20, nikolai creek, alaska",1
"site cik_21, shantatalik creek, alaska",1
"site cik_22, quartz creek, alaska",1
"site cik_23, funny river, alaska",1
"site cik_24, fox creek, alaska",1
"site cik_25, moose creek, alaska",1
"site cik_26, chijuk creek, alaska",1
"site cik_27, meadow creek, alaska",1
"site cik_28, kroto (deshka) creek, alaska",1
"site cik_29, trapper creek, alaska",1
"site cik_3, chester creek, alaska",1
"site cik_30, little willow creek, alaska",1
"site cik_31, cottonwood creek, alaska",1
"site cik_32, jim creek, alaska",1
"site cik_33, montana creek, alaska",1
"site cik_34, willow creek, alaska",1
"site cik_35, wasilla creek, alaska",1
"site cik_36, deception creek, alaska",1
"site cik_37, moose creek, mat r., alaska",1
"site cik_38, fish creek, alaska",1
"site cik_39, troublesome creek, alaska",1
"site cik_4, north fork campbell creek, alaska",1
"site cik_40, byers creek, alaska",1
"site cik_41, east fork chulitna, alaska",1
"site cik_42, alexander creek, alaska",1
"site cik_43, cache creek, alaska",1
"site cik_44, theodore creek, alaska",1
"site cik_45, chuitna river, alaska",1
"site cik_46, silver salmon creek, alaska",1
"site cik_47, chenik creek, alaska",1
"site cik_48, mcneil river, alaska",1
"site cik_5, moose river, alaska",1
"site cik_6, ninilchik river, alaska",1
"site cik_7, swanson river, alaska",1
"site cik_8, stariski creek, alaska",1
"site cik_9, crooked creek, alaska",1
"site copper river, copper river, alaska",1
"site gibraltar creek, gibraltar creek, alaska",1
"site ikp-001, ikpikpak river area, alaska",1
"site ikp-002, ikpikpak river area, alaska",1
"site ikp-003, ikpikpak river area, alaska",1
"site iltnr19, , alaska",1
"site ini-001, fish creek area, alaska",1
"site ini-002, fish creek area, alaska",1
"site ini-003, fish creek area, alaska",1
"site ini-004, fish creek area, alaska",1
"site ini-005, fish creek area, alaska",1
"site ini-006, fish creek area, alaska",1
"site katm_idavc_stream_water, idavain creek, alaska",1
"site katm_margc_stream_water, margot creek, alaska",1
"site katm_naknlo_continuous_wq, naknek lake outlet / naknek river, alaska",1
"site katm_upatc_stream_water, up-a-tree creek, alaska",1
"site kdk_afoglk02, afognak lake, alaska",1
"site kdk_akalk01, akalura lake, alaska",1
"site kdk_ayarv01, ayakulik river, alaska",1
"site kdk_doscr01, dog salmon creek, alaska",1
"site kdk_frafp01a, dog salmon creek, alaska",1
"site kdk_karrv01, karluk river, alaska",1
"site kdk_spilk01, spiridon lake, alaska",1
"site kdk_ugalk01, uganik lake, alaska",1
"site kijil_01_temp, kijik lake, alaska",1
"site l9811, fish creek area, alaska",1
"site l9819, fish creek area, alaska",1
"site l9820, fish creek area, alaska",1
"site lacl_chull_beach_water, lake clark, alaska",1
"site lacl_kijil_beach_water, kijik lake, alaska",1
"site lacl_lclaro_continuous_wq, lake clark outlet, alaska",1
"site lacl_lkijr_stream_water, little kijik river, alaska",1
"site lacl_porta_beach_water, lake clark, alaska",1
"site lacl_tazir_stream_water, tazimina river, alaska",1
"site lacl_tlikr_stream_water, tlikakila river, alaska",1
"site lbroo_01_temp, lake brooks, alaska",1
"site lclar_01_temp, lake clark, alaska",1
"site lost dog creek, lost dog creek, alaska",1
"site m9925, fish creek area, alaska",1
"site mc7916, fish creek area, alaska",1
"site mcgeary creek, mcgeary creek, alaska",1
"site muekm23, , alaska",1
"site mussm15, , alaska",1
"site mutsk02, , alaska",1
"site mutsk09, , alaska",1
"site naknl_01_temp, naknek lake, alaska",1
"site naknl_02_temp, naknek lake, alaska",1
"site naknl_03_temp, naknek lake, alaska",1
"site napotoli creek, napotoli creek, alaska",1
"site neilson creek, neilson creek, alaska",1
"site panaruqak creek, panaruqak creek, alaska",1
"site r0066, fish creek area, alaska",1
"site silver salmon creek, silver salmon creek, alaska",1
"site sivanguq creek, sivanguq creek, alaska",1
"site south fork koktuli river, south fork koktuli river, alaska",1
"site squaw creek, squaw creek, alaska",1
"site stuyahok river, stuyahok river, alaska",1
"site tazimina river, tazimina river, alaska",1
"site tes-001, teshekpuk lake area, alaska",1
"site tes-002, teshekpuk lake area, alaska",1
"site tes-003, teshekpuk lake area, alaska",1
"site tes-004, teshekpuk lake area, alaska",1
"site tes-005, teshekpuk lake area, alaska",1
"site tes-006, teshekpuk lake area, alaska",1
"site too-001, toolik lake area, alaska",1
"site too-002, toolik lake area, alaska",1
"site too-003, toolik lake area, alaska",1
"site too-004, toolik lake area, alaska",1
"site too-005, toolik lake area, alaska",1
"site too-006, toolik lake area, alaska",1
"site tunravik creek, tunravik creek, alaska",1
"site umi-001, nakaktuk lakes area, alaska",1
"site umi-002, nakaktuk lakes area, alaska",1
"site umi-003, nakaktuk lakes area, alaska",1
"site umi-004, nakaktuk lakes area, alaska",1
"site umi-005, nakaktuk lakes area, alaska",1
"site umi-006, nakaktuk lakes area, alaska",1
"site victoria creek, victoria creek, alaska",1
"site yellow creek, yellow creek, alaska",1
"sitka (city/community), southeast, alaska",1
"sitka tribe of alaska, sitka, southeast, alaska",1
"sitŋasuaq, common name nome, norton sound, alaska",1
situk r nr yakutat ak,1
"situk river, alaska",1
"sivunga, common name savoonga, norton sound, alaska",1
"sivuqaq, common name gambell, norton sound, alaska",1
"siwash creek, prince william sound, alaska",1
"sixes, or",1
sixmile c nr hope ak,1
"skagway (city/community), southeast, alaska",1
"skagway river, alaska",1
"skagway village, skagway, southeast, alaska",1
"skowhegan, me",1
"skwentna (city/community), cook inlet, alaska",1
"slana (city/community), copper river, alaska",1
slate c at coldfoot ak,1
"slate creek (tributary middle fork koyukuk river), yukon, alaska",1
"slate creek (tributary nenana river), yukon, alaska",1
"slate creek, alaska",1
"slate creek, kuskokwim, alaska",1
"sleepy eye, mn",1
"sleetmute (city/community), kuskokwim, alaska",1
"sleetmute, ak",1
"slippery creek, southeast, alaska",1
"slippery creek, yukon, alaska",1
"smart river, yukon - canada, alaska",1
"smith river, ca",1
"smyrna, tn",1
"snag creek, yukon - canada, alaska",1
"snake creek, southeast, alaska",1
"snake river - norton sound, norton sound, alaska",1
"snake river environmental conditions monitoring, norton sound/port clarence, alaska",1
"snake river tower/weir, norton sound/port clarence, alaska",1
"snake river, norton sound/port clarence, alaska",1
"sneads, fl",1
"snoqualmie pass, wa",1
"snoqualmie, wa",1
snow r nr seward ak,1
"snowmass, co",1
"soap lake, wa",1
"social circle, ga",1
"soda creek, kuskokwim, alaska",1
"soł chaget, common name salcha, yukon, alaska",1
"solana beach, ca",1
"soldotna (city/community), cook inlet, alaska",1
solomon gulch at top of falls nr valdez ak,1
"solomon river, norton sound/port clarence, alaska",1
"sonoita, az",1
"sonoma, ca",1
"sonora, ca",1
"soquel, ca",1
"souch creek, yukon - canada, alaska",1
"soule river, alaska",1
"sourdough, copper river, alaska",1
"south bank (upper) tanana river, yukon, alaska",1
"south beaches, copper river, alaska",1
"south big salmon river, yukon - canada, alaska",1
"south colby, wa",1
"south fork battle creek, alaska",1
"south fork chickamin river, southeast, alaska",1
"south fork creekampbell creek, alaska",1
"south fork koyukuk river, alaska",1
"south fork koyukuk river, yukon, alaska",1
"south freeport, me",1
"south lake tahoe, ca",1
"south lake, kuskokwim, alaska",1
"south naknek (city/community), bristol bay, alaska",1
"south naknek village, south naknek, bristol bay, alaska",1
"south padre island, tx",1
"south prairie, wa",1
"south range, wi",1
"south river, norton sound/port clarence, alaska",1
"southborough, ma",1
"southeast creek, alaska",1
"southfield, mi",1
"southworth, wa",1
"sparks, nv",1
"spasski creek, southeast, alaska",1
"speel river, seak, ak",1
"spenard, ak",1
"spencer, sd",1
"sperryville, va",1
"spiridon lake, kodiak, alaska",1
"spokane valley, wa",1
"spout spring, va",1
"spring creek, nv",1
"spring hill, fl",1
"spring valley, ca",1
"springfield, mo",1
"springfield, or",1
"spruce creek, yukon, alaska",1
"squaw creek, yukon, alaska",1
"squaw harbor, ak",1
"squirrel river tower, kotzebue, alaska",1
"st marys (village/city), yukon, alaska",1
"st matthews creek, prince william sound, alaska",1
"stafford, or",1
staney c nr klawock ak,1
"staney creek, alaska",1
"staney creek, southeast, alaska",1
"stanfield, az",1
"stanford, mt",1
"stanley, id",1
"stanwood, mi",1
"staples, mn",1
"stateline, nv",1
"staunton, va",1
"stayton, or",1
"steamboat springs, co",1
"stebbins (city/community), norton sound, alaska",1
"stebbins community association, stebbins, norton sound, alaska",1
"steep creek, southeast, alaska",1
"steilacoom, wa",1
"stellako river, canada",1
"stellar creek, prince william sound, alaska",1
"stephan lake, cook inlet, alaska",1
"sterling (city/community), cook inlet, alaska",1
"stevens village (city/community), yukon, alaska",1
"stevens village (village/city), yukon, alaska",1
"stevens village fish wheel, yukon, alaska",1
"stevenson, md",1
"stevenson, wa",1
"stewart river, yukon - canada, alaska",1
stikine r nr wrangell ak,1
"stikine river, alaska",1
"stillwater, mn",1
"stink creek, yukon, alaska",1
"stink river, kuskokwim, alaska",1
"stinson beach, ca",1
"stites, id",1
"stl’aa caegge, common name slana, copper river, alaska",1
"stockton, ca",1
"stoneham, co",1
"stratford, wi",1
"stroudsburg, pa",1
"stryker, mt",1
"stuart, ia",1
"stuhini creek, southeast, alaska",1
"sturgis, sd",1
"stuver creek, yukon, alaska",1
"stuyahok river, alaska",1
"stuyahok river, yukon, alaska",1
"suacit, common name valdez, prince william sound, alaska",1
"sublimity, or",1
"suisun, ca",1
"sullivan creek, kuskokwim, alaska",1
"sullivan, me",1
"sullivan, mo",1
"sulukna river, yukon, alaska",1
"summer lake, or",1
"summerland, ca",1
"summerville, or",1
"summit lake, copper river, alaska",1
"sun city, az",1
"sun lakes, az",1
"sun valley, ca",1
"sun'aq tribe of kodiak (formerly the shoonaq' tribe of kodiak), kodiak, kodiak, alaska",1
"sun’aq, common name kodiak, kodiak, alaska",1
"sunland, ca",1
"sunny river, prince william sound, alaska",1
"sunnyvale, ca",1
"sunriselake outlet, alaska",1
"sunriver, or",1
"superior, co",1
"superior, mt",1
"surfside beach, sc",1
"surprise, az",1
"sushana river, yukon, alaska",1
susitna r at gold creek ak,1
"susitna river - flathorn, cook inlet, alaska",1
"susitna river - sunshine, cook inlet, alaska",1
"susitna river, alaska",1
"susitna river, cook inlet, alaska",1
"susitnu, common name susitna river, cook inlet, alaska",1
"suslota lake, copper river, alaska",1
"sutherlin, or",1
"sutter creek, southeast, alaska",1
"sutton (city/community), cook inlet, alaska",1
"swamp creek, prince william sound, alaska",1
"swan cove creek, southeast, alaska",1
"swan lake & outlet, yukon - canada, alaska",1
